Department,Year,Budget,Actual Expenditure,Personnel Costs,Operational Costs,Capital Expenditures,Overtime Costs,Travel and Training,Supplies and Materials,Maintenance Costs,Revenue Generated,Efficiency Metrics,Notes
HR,2022,417730,417730,159771,52636,41102,16606,19397,6920,16878,83661,1.0211820029232617,High overtime costs
IT,2022,131171,131171,147441,79225,38712,18749,12765,14876,6152,48943,0.9933479555757723,-
HR,2022,426295,327845,117079,50363,31823,1609,6326,26996,8744,67994,0.6412209937267642,Increased maintenance
HR,2022,136296,136296,120960,65959,10361,1223,1579,11419,8621,27468,0.745464757484037,Increased maintenance
IT,2024,190562,190562,78465,90223,30838,1907,14509,14160,19904,63612,0.5100548173558075,High overtime costs
IT,2022,202324,202324,167745,95917,19638,14978,14349,11172,18472,39123,0.8711207638856626,Additional training expenses
HR,2024,187934,187934,43395,99125,43052,10943,1960,10930,19511,72599,0.696658981545032,High overtime costs
Marketing,2023,291535,167556,124162,11120,28265,5810,7902,8808,10890,6003,0.5083061416838914,Additional training expenses
Operations,2024,382103,278495,150704,26491,29751,12161,14033,17972,16551,11024,0.797293504544476,Additional training expenses
IT,2024,453666,304809,174779,53638,47012,14063,3844,16507,14164,17173,1.1488087981747739,-
Operations,2022,368166,368166,95937,49062,15916,4937,4697,19656,8907,6458,1.1463808159634865,-
Marketing,2023,308970,255384,149647,15193,14509,17615,2390,9738,8728,61194,0.7604719975555188,Additional training expenses
Marketing,2023,374135,65021,140650,99144,36102,12260,1419,27879,18225,83241,0.8144245170982292,Additional training expenses
Marketing,2023,221999,221999,150744,25213,29324,9939,3917,22488,12747,53621,0.6698770244311698,-
IT,2023,281449,281449,111512,89766,19003,10750,14206,18604,16603,64213,0.5478154444068656,Additional training expenses
Marketing,2024,361997,361997,159830,93959,32943,737,12620,25773,8066,2109,0.9857486779510763,Additional training expenses
IT,2023,81826,81826,87009,27187,47634,19363,11822,18808,14483,13365,1.060036894771502,Additional training expenses
Marketing,2024,355023,114361,164353,20040,38101,15935,4942,15697,17505,51537,1.1160732489522283,High overtime costs
Operations,2024,238337,238337,52548,76302,34943,10143,8354,18034,7860,80748,1.154701103793081,Increased maintenance
Operations,2024,122361,122361,38371,39949,14456,16913,5198,8884,5163,29145,1.1411743561329861,Additional training expenses
HR,2023,290028,290028,125977,13527,16369,12321,11271,5732,17111,77935,0.5191683968823209,-
Operations,2022,390134,148841,170716,86557,24329,4418,11030,21041,6714,70621,1.1846664357957537,Additional training expenses
HR,2022,401931,401931,174946,93408,18218,9396,16926,22965,8462,23820,0.7656514151291363,Additional training expenses
Operations,2023,267256,230076,34281,87294,26164,1986,17816,25063,6440,80195,1.1202753793878566,-
IT,2022,90736,90736,173361,28757,42424,346,8860,25236,15287,33386,0.8085321401764984,-
Operations,2022,336674,210786,156126,35412,17410,5825,15762,23811,10313,21274,0.7955333577174943,Additional training expenses
HR,2024,259124,67198,120020,24312,34730,1215,968,21707,13992,9074,0.5078334297693192,Increased maintenance
HR,2024,228130,228130,127508,32119,7665,13890,5800,8699,15957,67239,0.5367090131798473,-
Marketing,2023,156080,156080,86846,21804,44899,10960,7470,10181,11227,10987,0.9698953455280963,-
IT,2023,386399,386399,114682,63986,42703,244,4819,28697,7660,29780,1.1563484251985539,High overtime costs
Operations,2022,185958,185958,49312,56545,5415,14119,3235,13553,6690,51571,0.6570801866852336,Additional training expenses
Marketing,2024,438742,68740,134186,86519,38475,11243,16635,23484,5233,62538,0.5657433205704099,High overtime costs
Operations,2023,274793,274793,24257,39999,29172,132,4300,17968,6876,90619,0.6496999230894085,High overtime costs
Operations,2023,168623,168623,166918,49758,7684,15556,14167,15084,14153,88291,0.648623892595383,Increased maintenance
Marketing,2023,349531,349531,173555,79519,12494,17754,15661,18280,8370,64082,0.7051949224623428,Additional training expenses
Marketing,2023,202647,202647,46558,13768,24750,1087,11071,7754,19482,10227,0.5663204272812593,Additional training expenses
Marketing,2023,162260,149855,63188,11504,24887,9839,3998,22856,11339,99721,0.6648686983801347,High overtime costs
Marketing,2023,482859,260192,164084,77986,25826,10083,8982,22490,18193,38926,1.144892384033004,-
Marketing,2022,453316,338927,53236,86772,11180,13415,5180,15618,10109,7148,1.1231534662145595,-
Operations,2024,451072,171701,65076,18002,7559,10452,12752,20817,6045,35628,0.7214130385046393,Additional training expenses
Marketing,2024,481385,390191,68402,85427,45905,13828,5421,6803,11091,30900,1.1978254204985905,Increased maintenance
IT,2023,472020,321615,114467,48787,8971,8310,17879,13272,9481,11771,0.7088471752370917,Increased maintenance
HR,2024,216862,160771,183148,23898,40725,2903,13918,28041,19312,67921,1.0052808733548448,Additional training expenses
Marketing,2024,343132,56163,100337,20472,23113,894,14316,20668,9459,66461,0.9508061754377364,-
Marketing,2024,388592,374215,135827,90800,47861,1265,10899,11906,13033,38989,0.5451879018127102,Increased maintenance
Operations,2023,481722,66065,94264,93227,17951,16746,13199,26739,11417,32996,0.7396077922032884,Additional training expenses
Marketing,2023,425574,425574,37335,42632,30617,9965,5378,16931,6407,50920,1.1660497324556398,Additional training expenses
Marketing,2024,268976,268976,63773,43743,37794,8505,15901,7988,5207,80925,0.5356068532956185,-
Marketing,2024,455521,430113,48570,88538,7583,18090,2577,12204,9370,26997,0.6224190274760782,High overtime costs
Operations,2023,191041,191041,107995,53386,30628,7334,8133,18028,12150,29488,1.1796620431095037,-
Marketing,2022,324548,298924,60658,53388,31250,13374,1235,27160,14944,22975,0.5278549318945627,Increased maintenance
HR,2024,452205,229420,140640,31323,8055,13348,17442,13516,13687,37310,0.8126251438341269,High overtime costs
Operations,2022,479199,331298,92613,79269,11801,15375,15641,7361,5901,72111,1.1428457272743482,-
HR,2024,291356,291356,78194,51319,39426,2393,3659,22618,16790,64254,1.1605751519800924,Increased maintenance
Operations,2022,220534,70229,131872,77759,41719,11802,11847,21486,15398,93264,1.1855246241060686,Increased maintenance
Marketing,2022,331504,331504,185031,26868,45067,3694,16440,19774,12083,25809,0.8369248830703275,High overtime costs
HR,2022,397801,300470,196660,12080,28840,17373,10084,9912,6749,43995,0.5605359914820263,-
Operations,2023,469503,361857,191605,23776,14933,14911,7472,5746,13651,68132,1.040892297146063,-
IT,2022,246544,208069,128558,76231,36979,10655,18953,19373,9489,72757,0.9962884304680795,Increased maintenance
Marketing,2022,296512,71101,88582,65452,9137,9096,15596,9908,14108,57812,0.9057293763388619,Additional training expenses
Operations,2022,290037,90391,195590,63812,16423,6410,18332,8691,11582,59760,1.1217651101399873,Additional training expenses
IT,2024,84160,84160,163775,73271,29315,3397,16606,16677,13030,90965,1.1380990622907463,High overtime costs
Operations,2022,318933,122723,69456,87585,39482,13031,9831,8064,17451,17507,0.9782709912775058,-
IT,2024,208253,208253,75491,68542,49156,910,5217,26796,9734,34388,0.5784699630442898,Additional training expenses
Marketing,2022,195457,195457,28043,25628,41115,18507,13537,6719,16593,60375,0.5668676210395339,High overtime costs
HR,2022,394741,216020,123212,18265,39754,18235,9949,23586,9665,62164,0.7860408265023855,Increased maintenance
IT,2023,115641,115641,88340,34671,41312,14915,9027,26535,7194,85894,0.7048904189812583,Additional training expenses
Operations,2024,356391,356391,161248,22460,28363,12863,2536,11026,12126,57095,0.5930882290973739,-
Marketing,2022,136673,136673,155008,13477,22085,11957,2525,15728,5959,52181,0.9278335748346802,Increased maintenance
IT,2024,281322,281322,51174,12202,47414,1615,9176,19073,18055,80469,0.9784708627744754,-
Operations,2024,317688,317688,102632,99410,41554,10582,17741,12737,15349,46654,0.9885777842714709,Increased maintenance
Operations,2023,296855,247190,108768,21850,19415,9397,4887,26836,13585,99774,0.6226940811395008,-
Operations,2023,456491,229354,145775,30809,26398,4026,14847,12184,16824,76189,0.7140906649802619,High overtime costs
IT,2023,286361,141725,128177,80886,37691,6869,11252,6789,18493,15300,0.639337032495289,-
IT,2023,113248,113248,45909,12806,11659,10871,4477,19575,18884,29232,0.9209339618245866,-
IT,2023,346694,262139,64158,17163,25644,18830,17755,18686,9538,9848,0.8969570047393135,Increased maintenance
HR,2023,365837,365837,159438,10185,8044,3312,19608,19351,9058,68646,0.8523194059664359,-
IT,2023,441068,441068,144296,34718,8883,8014,18258,5259,9842,85349,0.7072395909854768,-
IT,2023,462857,418427,79331,87081,36712,5019,19745,23302,7177,62217,0.6659370487579923,-
IT,2022,252821,135779,179914,66202,24324,10293,16095,27888,15058,7176,1.1232854825792502,Increased maintenance
HR,2024,305949,53060,168530,35215,26545,3216,6104,26902,6799,73915,0.5341977696150145,Additional training expenses
IT,2023,392165,175806,107367,38325,23204,11222,1142,27987,12570,45663,0.9594788652219259,Additional training expenses
Operations,2023,327749,325875,85382,28458,28268,18908,12726,19234,13696,6788,0.513703886721195,Additional training expenses
IT,2024,100713,100713,94319,26006,20762,13603,6898,29559,5719,62114,0.635686689373411,-
Operations,2022,463606,165871,31170,42969,33371,13340,17972,20266,6987,6282,0.7026384282040647,High overtime costs
Operations,2024,387547,70719,139952,86820,23847,10934,12177,12252,10773,5375,1.1205401784828695,High overtime costs
Operations,2024,370610,370610,100145,37655,41139,18345,12916,28614,19357,32403,0.5964144535008694,Increased maintenance
HR,2023,53981,53981,125626,91234,46295,4625,9662,5099,14066,18610,1.1564645887903098,Additional training expenses
HR,2024,452709,76325,196014,19102,15116,8292,12106,8905,7878,1340,1.0708194129649182,-
HR,2024,427775,427775,36208,77107,35125,9505,12682,20090,13825,41638,0.9753324968817542,Increased maintenance
IT,2023,431382,64551,186250,31553,36404,3448,4342,7342,17569,73519,0.7882223023405384,-
Operations,2023,145335,145335,160111,94079,33436,19628,15240,13091,18731,48411,1.1336798139861783,Increased maintenance
HR,2023,157441,157441,34990,89570,7788,14678,3362,24617,7420,32088,0.8695685208661954,Additional training expenses
HR,2023,66984,65141,157513,76865,37149,6047,14583,10024,6324,27360,0.7598452695578651,-
IT,2024,175580,175580,149327,51420,9125,1214,1636,16441,6008,74063,0.9099367930452258,Additional training expenses
HR,2024,423460,345759,99314,35382,8606,9558,14934,18755,15525,90915,0.6625873545615456,Additional training expenses
IT,2022,465976,172058,197031,79235,46534,7875,11104,21711,14331,62294,0.6910147240533154,-
Marketing,2022,182596,182596,46862,48795,37988,13919,15108,14543,16412,46661,1.1435201556079866,Additional training expenses
HR,2024,168454,162684,178345,61425,26306,15225,17628,7289,5403,74090,1.0557487890695543,Increased maintenance
Marketing,2022,99402,99402,113949,67402,47973,11815,11929,22749,16945,71869,0.8594505104197784,Increased maintenance
IT,2024,141656,141656,193572,72539,15833,5479,10789,16354,11233,18405,0.7915971738622412,Increased maintenance
Operations,2022,115614,100391,150223,86203,26997,172,13268,16291,16382,46185,1.0652989573057572,Additional training expenses
HR,2023,216963,170288,23956,33459,38521,17270,10704,22792,13887,68105,0.8994454333512952,-
IT,2022,403153,256132,108789,59649,34948,16044,4514,14702,14099,89301,0.7905236134892079,Additional training expenses
Operations,2023,483048,163535,109451,82495,12488,6263,14422,5219,17039,93142,0.860814154397009,Additional training expenses
Operations,2023,357980,192770,137782,56384,44974,11621,15540,11407,16356,47620,0.6628964707040901,Increased maintenance
Marketing,2023,456578,289947,22365,81746,47448,9601,18742,15360,11772,11578,0.6413789178926951,-
IT,2023,481137,136711,92204,88053,12938,7056,5615,20405,11590,58248,1.1923635453111459,High overtime costs
Operations,2022,308789,308789,156072,66278,43726,14245,17652,18591,19647,48880,1.178714274807135,High overtime costs
HR,2024,461778,421877,77072,88156,20770,15678,14840,8239,15118,30202,0.7945789763048949,-
HR,2023,181049,181049,72499,46744,11635,260,2376,22653,5120,79963,0.8606830722738575,-
Marketing,2022,388551,278625,89211,98340,13629,19736,19480,12542,11460,24381,1.079035896447504,Increased maintenance
Operations,2023,319754,319754,163979,40568,36668,1352,16945,17567,11281,63320,1.0080849585584475,-
IT,2022,159381,93372,168408,27991,26487,5243,11641,25201,10862,37226,0.569684463449677,-
HR,2022,65791,65791,105220,18912,17869,9691,15232,28573,7865,84005,0.7622277379968442,Additional training expenses
Operations,2022,108047,108047,113847,42527,14219,12565,11558,11857,8731,19095,0.6751058702620071,Additional training expenses
Operations,2024,284898,121158,129459,60426,45797,19390,11315,5067,18965,39615,1.1948411341756402,High overtime costs
Marketing,2022,200737,200737,97755,30407,21673,17206,11083,14863,17107,52856,1.0240911119024614,Increased maintenance
HR,2022,120246,120246,88783,22344,21763,16915,2504,28609,8591,31210,0.5334356464048344,Increased maintenance
HR,2024,246936,183021,147851,12355,49933,19204,10068,26767,16768,5802,1.1300265766193953,-
IT,2024,489667,99396,26472,64733,16043,166,9684,7012,9486,11841,1.1495708658592805,Increased maintenance
HR,2022,284955,284955,173452,76285,14570,12523,9321,24453,12172,80705,0.7332882834006864,High overtime costs
IT,2024,398292,81912,123152,94971,11886,17439,10455,29050,7414,64660,0.9493844333239647,Additional training expenses
HR,2023,95890,95890,178352,55733,6958,1254,13064,5290,14032,18921,0.9774272946368268,High overtime costs
Marketing,2023,450010,94387,172931,66915,48087,4286,6822,11312,11635,47505,1.0106833351157312,High overtime costs
HR,2024,82888,82888,199474,62716,29641,8009,12497,29111,7805,6745,0.9854550911589339,-
IT,2024,187821,187821,159334,48526,7183,4007,14251,8679,18777,31443,0.8918026058834572,Additional training expenses
IT,2022,96531,96531,162138,28088,34070,14992,10377,25294,16498,15016,1.1676907373905268,-
Marketing,2024,427796,51919,166626,75377,8774,7758,19944,9651,16625,78755,0.8586619204893757,High overtime costs
HR,2022,332752,332752,27008,54405,34018,9723,5679,5352,11665,29012,0.5776392597587579,High overtime costs
HR,2023,393130,190689,107851,48842,25303,14590,19069,22647,10361,87617,0.5562978382212139,Increased maintenance
Marketing,2024,396140,83298,100799,71788,19272,15638,6612,23210,6465,65837,0.5128636334601873,Increased maintenance
HR,2022,106017,106017,36238,61529,27586,12234,16272,9378,15048,18549,0.7995463708049884,Increased maintenance
HR,2022,107676,107676,37153,99939,38545,14011,1412,22989,15427,77974,0.6912653855574583,Increased maintenance
IT,2023,61560,61560,79353,62383,7566,7889,17605,8398,5403,70822,1.1266532407426857,High overtime costs
HR,2024,497617,326600,72092,49177,47863,12016,2249,25935,19137,35422,1.1070035010434656,Increased maintenance
HR,2023,100468,100468,194224,49056,15953,15415,2239,8006,11570,21251,1.0864897515115768,Additional training expenses
Marketing,2022,213535,213535,69104,98249,36696,4744,7873,6004,13604,30466,1.107094682179561,High overtime costs
Marketing,2022,474879,133721,175355,76421,12404,9796,12614,19812,14729,37860,0.708323975625086,High overtime costs
Operations,2024,345267,345267,197501,43632,37846,11965,8835,10967,9249,6580,0.7982822809607741,Additional training expenses
IT,2022,144346,144346,48887,49685,6581,4287,14803,11428,11346,82551,0.7182166414930825,-
HR,2024,190790,190790,197244,87222,19066,1002,12795,7078,13408,48201,0.5602567371859958,Increased maintenance
HR,2023,243709,243709,24355,78590,45735,13589,14441,23879,11625,57705,1.1468324054627868,High overtime costs
Operations,2024,312172,312172,53701,18977,12839,12922,15653,7261,14216,77919,0.9311483860191442,Additional training expenses
HR,2024,97599,61920,192606,58967,39930,84,5185,6737,7813,94499,0.5927866799562429,-
IT,2022,198469,57432,91442,84072,27129,19379,13499,8096,19838,15536,0.6442412696576799,-
Operations,2022,290270,160507,32279,25070,35845,13015,9577,12927,18086,80692,0.8155268392626349,Additional training expenses
IT,2024,95406,95406,194563,92473,18913,15373,7152,7444,5805,69936,0.5363258545642278,High overtime costs
Operations,2022,359801,359801,140738,31500,5964,5156,18968,21720,8349,51922,0.6903942468596199,High overtime costs
Operations,2022,117560,117560,159333,20011,15739,7194,17985,24367,12361,25344,0.9924124713698448,Increased maintenance
Marketing,2022,154143,154143,155546,58039,7673,5783,13798,14159,18230,32573,1.1442845374208406,Increased maintenance
IT,2024,194575,171764,111414,18896,43061,5695,17191,28382,7816,24780,1.150111991025947,Additional training expenses
HR,2022,104943,104943,48390,90118,36171,12357,10851,26382,16001,58210,0.8640203584156299,Additional training expenses
HR,2024,125839,125839,177997,49958,28643,16537,8306,13863,14463,54262,0.7185086783908847,High overtime costs
IT,2022,132674,132674,102174,51912,39486,9653,19111,18056,11231,59969,1.1445219585868256,High overtime costs
HR,2023,75345,75345,24787,10814,15624,2019,12918,15862,13625,661,1.0506444343408852,Additional training expenses
HR,2022,299495,299495,63724,85276,6228,16155,12484,15798,19755,66214,0.910978341132984,Additional training expenses
IT,2022,100390,68013,30663,34719,48370,570,12093,13187,12420,71899,1.0841870310135797,-
Operations,2024,276113,71446,167192,30150,39608,7922,8165,23979,13620,33067,0.8211812581933047,-
IT,2024,371701,371701,173812,80494,21920,16200,15084,7970,14379,82177,0.578536384291139,-
Operations,2022,51906,51906,153107,13825,24689,11769,10920,8269,18806,84682,1.1567666836990376,-
HR,2023,483383,152261,120271,60368,12124,6153,14327,21862,9257,98543,0.8738049539247308,-
HR,2022,57961,57961,87388,24800,47124,19075,12574,22227,15746,57146,0.9867033866201171,Additional training expenses
HR,2022,207212,207212,72335,85535,36339,10301,1568,6625,7312,52452,0.7746046050172553,Increased maintenance
Marketing,2023,431433,431433,63315,96390,12587,5507,17125,23264,6995,44505,0.5950190656397285,Additional training expenses
Operations,2024,239773,218461,124922,85017,8527,4869,9922,29685,15349,23707,0.6903172564643166,-
Marketing,2022,389711,228772,66627,58505,38067,15591,4904,25876,19163,92624,0.5305708406962054,Additional training expenses
Marketing,2024,392808,180878,159375,67899,8963,3655,2933,8480,9995,96525,0.5613057213359172,High overtime costs
IT,2024,131199,131199,69334,92782,42455,16347,4509,13542,6742,5647,0.6434433786297529,Additional training expenses
Marketing,2023,310928,74578,85700,32601,41939,2492,4526,20860,14534,14064,0.8927077917180255,Additional training expenses
IT,2023,149764,124779,59726,20677,25243,12304,5909,8042,6155,57083,1.1950193158857898,Increased maintenance
IT,2024,172357,172357,50694,39552,37693,6512,3167,24220,8204,45411,1.0906063164053146,-
Marketing,2022,392873,369644,182325,97858,8695,15243,10110,29462,13585,55835,0.5601069371651293,-
Operations,2024,471777,122534,175302,77891,14112,8774,18602,29258,11763,31195,1.0896405701637406,Additional training expenses
Operations,2022,362712,322273,83545,84693,37059,4350,1340,11564,19887,28979,0.875417915702368,Additional training expenses
Operations,2022,421493,247118,167997,43292,12242,10882,1514,25012,11947,39539,0.9622264271893182,-
Operations,2023,385446,323740,26033,76097,14941,4656,17795,26401,12202,57752,0.5908360040669647,High overtime costs
Operations,2022,144968,115355,82461,83703,25001,8511,7724,15233,16834,23992,0.7768081589744286,-
Marketing,2022,210576,62974,22665,26184,7700,17821,4167,29686,19016,33288,1.118885200409692,High overtime costs
Marketing,2024,428260,247745,47025,99336,23085,16415,17406,28990,9817,5642,0.7977559403304308,Additional training expenses
HR,2023,349290,349290,174605,71046,18339,714,10478,22585,18683,59876,0.5889794343146245,Additional training expenses
Operations,2022,90297,90297,196969,76741,20834,15089,19142,16170,7040,46698,0.7177526999195236,High overtime costs
Marketing,2022,136394,136394,97661,71377,16084,9231,11963,19073,7078,3884,0.6550638042575382,-
HR,2023,439317,382346,140473,22039,34543,16792,9304,15567,18485,48385,0.9808279280662511,Additional training expenses
Operations,2024,438086,124442,40998,55161,40930,15163,4808,27387,7864,35509,1.1377194350690871,-
IT,2023,66939,66939,81248,45006,46074,16008,8833,5010,16653,31649,1.0134429706237351,Additional training expenses
HR,2023,493931,486462,124493,27544,36902,7346,6733,20611,10829,79017,1.090533989144796,Increased maintenance
Marketing,2022,356604,105598,43057,22987,34044,8038,10429,21007,11249,36300,1.064072363924923,Increased maintenance
IT,2022,249294,183726,99244,15239,18137,17511,4907,14781,12442,96068,0.5102230121552682,Increased maintenance
IT,2024,455882,83758,117031,54785,39905,8898,11678,22885,10215,98954,0.5870591411857955,High overtime costs
IT,2022,112119,112119,132713,33358,10948,12031,3225,29704,10112,11036,0.7963653603631835,-
HR,2022,216393,177309,125887,92674,37567,11215,1014,12905,18341,67694,0.5784627652088544,Increased maintenance
Marketing,2023,444995,216000,87173,66450,36189,11851,6768,8603,11937,84571,1.0144543356339923,High overtime costs
IT,2022,194258,194258,58734,98520,36871,782,5458,25579,9256,74756,0.5491312020703786,Increased maintenance
Operations,2024,459675,80552,82072,38428,23189,5300,2021,5289,14521,9747,0.7913693139155429,Additional training expenses
IT,2023,268827,268827,114194,19096,27797,18563,19060,10688,14838,46692,0.77460244742933,Increased maintenance
IT,2024,317201,317201,159741,57582,8569,1178,11128,12393,12891,40230,0.880411959552607,-
HR,2023,199805,197278,133272,34536,31012,2406,3106,14868,11339,56777,0.940564207144102,-
HR,2022,331301,84831,87902,67395,17977,13546,8975,18436,15847,62108,1.162869459191704,High overtime costs
Marketing,2023,347174,93563,142247,78157,37049,19191,8862,12605,7385,90049,0.6898293592894504,-
Operations,2023,200685,68361,169982,79484,26694,12452,10961,16827,18449,39806,0.9661891420329753,Increased maintenance
HR,2022,158612,158612,76959,11287,49388,19148,10765,24077,16029,50387,0.5245593528071024,Additional training expenses
IT,2022,427224,124469,116623,64510,38224,2724,2584,17985,19782,82038,0.5007049009709901,Additional training expenses
Marketing,2024,395172,75816,151438,33902,21832,2535,4942,17014,10429,61824,0.5177507477537969,High overtime costs
IT,2024,186260,186260,68415,66188,37835,10140,1277,13374,10298,5518,0.8142382275577389,Additional training expenses
IT,2022,288178,196691,144716,31164,6862,19530,3043,21734,17624,50350,0.8885092060278315,High overtime costs
HR,2022,309418,284295,141209,91204,23186,1201,7370,24970,8305,6277,0.5043481525931923,High overtime costs
Marketing,2022,79680,79680,29907,11772,34545,10011,11364,27299,8320,75877,0.777488078310084,High overtime costs
Operations,2023,284433,76819,115825,63054,49391,2889,13672,10584,11275,47558,0.5285996812944707,-
